,QF_MERCHANT_PRID,QF_MERCHANT_PERSONNEL_PRID,QF_MERCHANT_SERVICE_PRID,ratingCount,bookingCount,SERVICE_VIEW_COUNT,SERVICE_OFFER_PRICE,SERVICE_UPDATED_ON_DATE,combined_vectors,Transformed_Formatted_Name,SERVICE_NAME,Transformed_Sub_Category,SERVICE_NAME_1,SERVICE_NAME_2,SERVICE_NAME_3,SERVICE_NAME_4,SERVICE_NAME_5
1547,952.0,951,2161,0,0,0.0,150.0,2023-09-28 08:43:06,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77504706 -0.43565168  0.43714663  0.51765862  0.14036227  0.21658098
 -1.21008727  0.68369231  0.21463812  0.29361143 -0.201676   -0.16082422
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Hair - Wash - Men,Hair Wash - Men,Hair,Hair,Wash,Men,,
1548,952.0,951,2162,0,0,1.0,900.0,2023-09-28 08:42:16,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.44040973 -0.2042051  -0.06458067  0.16705592  0.08607843  0.06320853
 -0.24910689 -0.83100139 -0.01719111 -0.44904392  0.0248623  -0.07123326
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Colour - Global - Men,Global Colour - Men,Hair,Colour,Global,Men,,
1549,952.0,951,2163,0,0,0.0,220.0,2023-09-28 08:42:42,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
  1.04533455 -2.19562586  0.59941635  0.05689531 -0.28443901  0.45491979
  0.44040973 -0.2042051  -0.06458067  0.16705592  0.08607843  0.06320853
  1.32171415  0.44539886 -0.42619977  0.79671071  0.41595404 -0.1684607
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Colour - Moustache - Men,Moustache Colour - Men,Moustache,Colour,Moustache,Men,,
1550,952.0,951,2164,0,1,2.0,900.0,2023-09-28 08:40:28,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
 -0.41693288 -0.29867228 -1.09191     0.321855    0.87177696 -0.50711296
  0.90233653 -0.235161   -1.28095375 -0.43629054  0.15863619 -0.20066541
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",De-tan - Face & Neck - Men,De-tan - Face & Neck Men,Face,De-tan,Face & Neck,Men,,
1551,911.0,910,2165,0,0,0.0,1100.0,2023-09-14 03:56:56,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
 -0.85137544  0.7427331   0.31130551  0.53250231 -0.04243295 -0.28052775
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Facial - Gold - Men,Gold Facial Men,Face,Facial,Gold,Men,,
1552,911.0,910,2166,0,0,0.0,800.0,2023-09-14 03:56:26,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
  0.16513317 -0.57198411  0.07125771 -0.3503221  -0.12741715 -0.16588027
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Facial - Radiant Glow - Men,Radiant Glow Facial Men,Face,Facial,Radiant Glow,Men,,
1553,911.0,910,2167,0,0,0.0,700.0,2023-09-14 03:55:50,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
  0.23805895 -1.1393461  -0.06330848  0.92322913  0.37074019  0.14164263
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Facial - Fruit - Men,Fruit Facial Men,Face,Facial,Fruit,Men,,
1554,911.0,910,2168,0,0,0.0,400.0,2023-09-14 03:55:17,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.48039935 -0.24442957  0.39085683  0.40395909 -0.19931581 -0.23871176
 -0.41693288 -0.29867228 -1.09191     0.321855    0.87177696 -0.50711296
 -0.11059702  0.32150015 -0.72232308 -0.07735605  0.16649532  0.4516471
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",De-tan - Full Arms - Men,De-tan Full Arms Men,arms,De-tan,Full Arms,Men,,
1555,911.0,910,2169,0,0,0.0,500.0,2023-09-14 03:54:31,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
 -0.41693288 -0.29867228 -1.09191     0.321855    0.87177696 -0.50711296
  0.90233653 -0.235161   -1.28095375 -0.43629054  0.15863619 -0.20066541
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",De-tan - Face & Neck - Men,De-tan - Face & Neck Men,Face,De-tan,Face & Neck,Men,,
1556,911.0,910,2170,0,0,0.0,300.0,2023-09-14 03:53:44,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.65935863 -0.05569227 -0.03678674  0.46320998 -0.07177095 -0.04880857
  0.44040973 -0.2042051  -0.06458067  0.16705592  0.08607843  0.06320853
 -0.94253864 -0.00290323 -0.17022107  0.31200125  0.08972103 -0.06011488
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Colour - Beard - Men,Beard Colour - Men,Beard,Colour,Beard,Men,,
1557,912.0,911,2171,0,0,1.0,80.0,2023-09-14 04:16:16,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.65935863 -0.05569227 -0.03678674  0.46320998 -0.07177095 -0.04880857
  1.05128125  0.02345308 -0.32014901 -0.1800617   0.3690378  -0.15302528
 -0.94253864 -0.00290323 -0.17022107  0.31200125  0.08972103 -0.06011488
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Trim - Beard - Men,Beard Trim - Men,Beard,Trim,Beard,Men,,
1558,912.0,911,2172,0,0,0.0,800.0,2023-09-14 04:15:51,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
  0.23805895 -1.1393461  -0.06330848  0.92322913  0.37074019  0.14164263
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Facial - Fruit - Men,Fruit Facial Men,Face,Facial,Fruit,Men,,
1559,912.0,911,2173,0,0,0.0,1200.0,2023-09-14 04:15:28,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
 -0.85137544  0.7427331   0.31130551  0.53250231 -0.04243295 -0.28052775
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Facial - Gold - Men,Gold Facial Men,Face,Facial,Gold,Men,,
1560,895.0,894,2174,2,17,11.0,200.0,2023-09-20 14:09:27,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  0.809729   -0.18270606  0.11628515  0.19234641  0.12926951  0.0528518
 -1.11428203  0.48244068 -0.17726933  0.06043559  0.10945791  0.03652477
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Scrub - Face - Men,Face Scrub - Men,Face,Scrub,Face,Men,,
1561,957.0,956,2175,0,0,4.0,3500.0,2023-09-21 14:55:08,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.73325472  0.26746009 -0.4193243  -0.37502669  0.04575305 -0.01524915
  0.79982349 -0.97338826  1.0905717   0.13496482  0.34136412 -0.11823986
 -0.14675111  0.85274588  0.00542463  1.22026574  0.17345227  0.18701205]",Repair - Keratin - Upto Waist - Women,Keratin Repair - Upto Waist Women,Hair,Repair,Keratin,Upto Waist,Women,
1562,957.0,956,2176,0,0,0.0,2000.0,2023-09-21 14:56:40,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.73325472  0.26746009 -0.4193243  -0.37502669  0.04575305 -0.01524915
  0.79982349 -0.97338826  1.0905717   0.13496482  0.34136412 -0.11823986
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Repair - Keratin - Men,Keratin Repair - Men,Hair,Repair,Keratin,Men,,
1563,957.0,956,2177,0,0,0.0,150.0,2023-09-21 14:57:21,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
 -0.37152913 -0.67940062  0.65306028  0.35935363 -0.07419304  0.22697829
 -0.55232859  0.18455997 -0.73688192  0.04115531 -0.17771172  0.26795059
  0.          0.          0.          0.          0.          0.        ]",Hair Cut - Men,Hair Cut - Men,Hair,Hair Cut,Men,,,
1564,957.0,956,2178,0,0,0.0,299.0,2023-09-21 14:57:56,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
 -0.37152913 -0.67940062  0.65306028  0.35935363 -0.07419304  0.22697829
 -0.47367549 -0.28372472  0.20471065 -0.72237116  0.21006598  0.0012346
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Hair Cut - Advanced - Women,Hair Cut Advanced - Women,Hair,Hair Cut,Advanced,Women,,
1565,957.0,956,2179,0,0,3.0,250.0,2023-09-21 14:58:51,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77933222 -0.15216503 -0.6292204  -0.19077331 -0.31342386 -0.64881843
  1.66131911  0.20639351 -0.88074588 -0.16818096 -0.62638606 -0.67378703
  1.01854745  0.05046016  0.08589861  0.06383243 -0.02785757 -0.00775019]",Cut - Hair & Trim - Beard - Men,Hair Cut & Beard Trim - Men,Hair,Cut,Hair & Trim,Beard,Men,
1566,957.0,956,2180,0,0,1.0,100.0,2023-09-21 15:00:04,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.65935863 -0.05569227 -0.03678674  0.46320998 -0.07177095 -0.04880857
  1.05128125  0.02345308 -0.32014901 -0.1800617   0.3690378  -0.15302528
 -0.94253864 -0.00290323 -0.17022107  0.31200125  0.08972103 -0.06011488
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Trim - Beard - Men,Beard Trim - Men,Beard,Trim,Beard,Men,,
1567,957.0,956,2181,0,0,0.0,499.0,2023-09-21 15:02:30,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77416794 -0.54407445  0.10392648  0.02099826  0.2733113   0.16564617
 -0.80518804 -0.15883603  0.00945025 -0.26789621 -0.14291895  0.22105887
  0.97861729  0.0669271   0.15719771 -0.32142373 -0.27513771 -0.09545029]",Spa - Classic - Hair - Upto Shoulder - Women,Classic Hair Spa - Upto Shoulder Wo,Hair,Spa,Classic,Hair,Upto Shoulder,Women
1568,957.0,956,2182,0,0,0.0,399.0,2023-09-21 15:03:06,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77416794 -0.54407445  0.10392648  0.02099826  0.2733113   0.16564617
 -0.80518804 -0.15883603  0.00945025 -0.26789621 -0.14291895  0.22105887
  0.97861729  0.0669271   0.15719771 -0.32142373 -0.27513771 -0.09545029]",Spa - Classic - Hair - Men,Classic Hair Spa - Men,Hair,Spa,Classic,Hair,Men,
1569,957.0,956,2183,0,0,0.0,299.0,2023-09-21 15:05:04,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
 -0.41693288 -0.29867228 -1.09191     0.321855    0.87177696 -0.50711296
  0.90233653 -0.235161   -1.28095375 -0.43629054  0.15863619 -0.20066541
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",De-tan - Face & Neck - Men,De-tan - Face & Neck Men,Face,De-tan,Face & Neck,Men,,
1570,957.0,956,2184,0,0,0.0,299.0,2023-09-21 15:06:20,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
 -0.41693288 -0.29867228 -1.09191     0.321855    0.87177696 -0.50711296
  0.90233653 -0.235161   -1.28095375 -0.43629054  0.15863619 -0.20066541
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",De-tan - Face & Neck - Women,De-tan - Face & Neck Women,Face,De-tan,Face & Neck,Women,,
1571,957.0,956,2185,0,0,0.0,399.0,2023-09-21 15:08:33,"[-0.22748656  1.21591976 -0.07052168  0.20664219  0.18589241 -0.39877277
 -0.11125053 -0.49589062 -0.14218086  0.77928956  0.49581308 -0.21349604
 -0.33731883 -0.14439285  0.51856735  0.32526874  0.19598784 -0.32410089
 -0.70476387  0.59305521  0.70956686 -0.43253547  0.17665921  0.03478749
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Manicure - Basic - Women,Basic Manicure Women,palm,Manicure,Basic,Women,,
1572,957.0,956,2186,0,0,1.0,499.0,2023-09-21 15:08:19,"[-0.22748656  1.21591976 -0.07052168  0.20664219  0.18589241 -0.39877277
 -0.43869291 -0.22739113 -0.06495697  0.16735309  0.2957701  -0.30210452
 -1.22741467  0.55549539  0.36503209  1.03430608  0.2442082   0.45006309
 -0.70476387  0.59305521  0.70956686 -0.43253547  0.17665921  0.03478749
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Pedicure - Basic - Women,Basic Pedicure Women,feet,Pedicure,Basic,Women,,
1573,957.0,956,2187,0,0,0.0,350.0,2023-09-21 15:09:11,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
 -0.99484654 -0.014959    0.67028006  0.45520484  0.11256947 -0.16682526
  0.90233653 -0.235161   -1.28095375 -0.43629054  0.15863619 -0.20066541
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Bleach - Face & Neck - Women,Bleach - Face & Neck Women,Face,Bleach,Face & Neck,Women,,
1574,957.0,956,2188,0,0,0.0,600.0,2023-09-21 15:42:45,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
  0.23805895 -1.1393461  -0.06330848  0.92322913  0.37074019  0.14164263
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Facial - Fruit - Women,Fruit Facial Women,Face,Facial,Fruit,Women,,
1575,957.0,956,2189,0,0,0.0,2000.0,2023-09-21 15:24:07,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
  0.05888497 -0.79129287  0.42904276 -0.0133822   0.47846321 -0.2985456
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Facial - Oxy - Women,Oxy Facial Women,Face,Facial,Oxy,Women,,
1576,862.0,861,2192,0,0,2.0,1250.0,2023-09-25 13:05:33,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77504706 -0.43565168  0.43714663  0.51765862  0.14036227  0.21658098
 -0.24910689 -0.83100139 -0.01719111 -0.44904392  0.0248623  -0.07123326
  0.07565366  1.05902483  0.36425505  0.9760281  -0.11195728  0.04041848]",Hair - Global - Upto Shoulder - Women,Global - Upto Shoulder Women,Hair,Hair,Global,Upto Shoulder,Women,
1577,862.0,861,2193,0,0,0.0,100.0,2023-09-25 13:04:21,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
  1.04533455 -2.19562586  0.59941635  0.05689531 -0.28443901  0.45491979
  1.05128125  0.02345308 -0.32014901 -0.1800617   0.3690378  -0.15302528
  1.32171415  0.44539886 -0.42619977  0.79671071  0.41595404 -0.1684607
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Trim - Moustache - Men,Moustache Trim - Men,Moustache,Trim,Moustache,Men,,
1578,862.0,861,2194,0,0,0.0,100.0,2023-09-25 13:03:46,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.65935863 -0.05569227 -0.03678674  0.46320998 -0.07177095 -0.04880857
  1.27370046 -0.35584952 -0.22576215 -0.02713263  0.12685882 -0.10520819
 -0.55232859  0.18455997 -0.73688192  0.04115531 -0.17771172  0.26795059
  0.          0.          0.          0.          0.          0.        ]",Shave - Men,Shave - Men,Beard,Shave,Men,,,
1579,862.0,861,2195,0,0,1.0,1200.0,2023-09-25 13:03:07,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.44040973 -0.2042051  -0.06458067  0.16705592  0.08607843  0.06320853
 -0.24910689 -0.83100139 -0.01719111 -0.44904392  0.0248623  -0.07123326
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Colour - Global - Men,Global Colour - Men,Hair,Colour,Global,Men,,
1580,862.0,861,2196,0,0,3.0,990.0,2023-09-25 12:53:54,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77416794 -0.54407445  0.10392648  0.02099826  0.2733113   0.16564617
 -0.80518804 -0.15883603  0.00945025 -0.26789621 -0.14291895  0.22105887
  0.97861729  0.0669271   0.15719771 -0.32142373 -0.27513771 -0.09545029]",Spa - Classic - Hair - Upto Shoulder - Women,Classic Hair Spa - Upto Shoulder Wo,Hair,Spa,Classic,Hair,Upto Shoulder,Women
1581,862.0,861,2197,0,0,2.0,400.0,2023-09-25 12:53:03,"[-0.22748656  1.21591976 -0.07052168  0.20664219  0.18589241 -0.39877277
 -0.11125053 -0.49589062 -0.14218086  0.77928956  0.49581308 -0.21349604
 -0.33731883 -0.14439285  0.51856735  0.32526874  0.19598784 -0.32410089
 -0.70476387  0.59305521  0.70956686 -0.43253547  0.17665921  0.03478749
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Manicure - Basic - Women,Basic Manicure Women,palm,Manicure,Basic,Women,,
1582,862.0,861,2198,0,0,4.0,500.0,2023-09-25 12:52:33,"[-0.22748656  1.21591976 -0.07052168  0.20664219  0.18589241 -0.39877277
 -0.43869291 -0.22739113 -0.06495697  0.16735309  0.2957701  -0.30210452
 -1.22741467  0.55549539  0.36503209  1.03430608  0.2442082   0.45006309
  0.20913175  0.16383243 -0.09189201  0.92948042 -1.10374256  0.00984064
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Pedicure - Green Tea - Women,Green Tea Pedicure Women,feet,Pedicure,Green Tea,Women,,
1583,862.0,861,2199,0,0,0.0,10900.0,2023-09-25 12:52:04,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
 -0.14810957 -0.00395373  0.16314788  0.04362108 -0.14575922 -0.03547291
  2.51613695  1.43699411 -0.5397233   0.33446008 -0.74640705 -0.97560495
  0.68859091 -0.39464916  0.62361956 -0.42203161 -0.38711057  0.06243604]",Make Up - Bridal & Reception - Women,Bridal & Reception Make Up Women,Face,Make Up,Bridal & Reception,Women,,
